sport,slate_date,game_id,player_id,player,team,opponent,market,projection,projection_lower_80,projection_upper_80,residual_standard_deviation,model_name,validation_mae,batting_order,position,expected_plate_appearances,days_rest,source_file
MLB,2026-07-21,825056,814439,Ryan Waldschmidt,Arizona Diamondbacks,Athletics,hitter_rbis,0.442,0.0,1.84,0.847,xgboost,0.6272,9.0,LF,3.5716,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824735,621493,Taylor Ward,Baltimore Orioles,Boston Red Sox,hitter_rbis,0.442,0.0,1.841,0.847,xgboost,0.6272,2.0,LF,4.666,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,545121,Ildemaro Vargas,Arizona Diamondbacks,Athletics,hitter_rbis,0.441,0.0,1.84,0.847,xgboost,0.6272,5.0,2B,2.9463,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,677588,José Tena,Washington Nationals,Colorado Rockies,hitter_rbis,0.44,0.0,1.839,0.847,xgboost,0.6272,3.0,DH,2.3589,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,694671,Wyatt Langford,Texas Rangers,Chicago White Sox,hitter_rbis,0.438,0.0,1.836,0.847,xgboost,0.6272,1.0,DH,4.4167,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824409,656555,Rhys Hoskins,Cleveland Guardians,Minnesota Twins,hitter_rbis,0.435,0.0,1.833,0.847,xgboost,0.6272,4.0,1B,3.6237,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,702284,Cole Young,Seattle Mariners,Cincinnati Reds,hitter_rbis,0.433,0.0,1.831,0.847,xgboost,0.6272,6.0,2B,3.8301,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,805347,Jim Jarvis,Atlanta Braves,San Diego Padres,hitter_rbis,0.432,0.0,1.831,0.847,xgboost,0.6272,9.0,SS,3.7957,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,701538,Jackson Merrill,San Diego Padres,Atlanta Braves,hitter_rbis,0.431,0.0,1.829,0.847,xgboost,0.6272,5.0,CF,4.5274,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,673962,Josh Jung,Texas Rangers,Chicago White Sox,hitter_rbis,0.43,0.0,1.828,0.847,xgboost,0.6272,3.0,3B,4.4859,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,543877,Christian Vázquez,Houston Astros,Miami Marlins,hitter_rbis,0.429,0.0,1.828,0.847,xgboost,0.6272,9.0,C,3.1361,4.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,694374,Tim Tawa,Arizona Diamondbacks,Athletics,hitter_rbis,0.429,0.0,1.828,0.847,xgboost,0.6272,7.0,1B,3.1663,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,607043,Brandon Nimmo,Texas Rangers,Chicago White Sox,hitter_rbis,0.428,0.0,1.826,0.847,xgboost,0.6272,4.0,RF,4.2232,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,805367,Chase Meidroth,Chicago White Sox,Texas Rangers,hitter_rbis,0.428,0.0,1.826,0.847,xgboost,0.6272,7.0,2B,3.8096,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,624641,Edmundo Sosa,Philadelphia Phillies,Los Angeles Dodgers,hitter_rbis,0.428,0.0,1.827,0.847,xgboost,0.6272,5.0,LF,3.3985,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824005,691026,Masyn Winn,St. Louis Cardinals,Los Angeles Angels,hitter_rbis,0.428,0.0,1.827,0.847,xgboost,0.6272,6.0,SS,3.8398,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,679845,Nick Loftin,Kansas City Royals,San Francisco Giants,hitter_rbis,0.428,0.0,1.827,0.847,xgboost,0.6272,8.0,3B,3.7284,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,691011,Drew Romo,Chicago White Sox,Texas Rangers,hitter_rbis,0.427,0.0,1.825,0.847,xgboost,0.6272,9.0,C,3.2165,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,Tampa Bay Rays,hitter_rbis,0.426,0.0,1.825,0.847,xgboost,0.6272,2.0,1B,4.2684,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,673357,Luis Robert Jr.,New York Mets,Milwaukee Brewers,hitter_rbis,0.425,0.0,1.824,0.847,xgboost,0.6272,6.0,CF,4.016,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,695731,Braden Montgomery,Chicago White Sox,Texas Rangers,hitter_rbis,0.424,0.0,1.823,0.847,xgboost,0.6272,4.0,RF,4.1361,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,596142,Gary Sánchez,Milwaukee Brewers,New York Mets,hitter_rbis,0.422,0.0,1.82,0.847,xgboost,0.6272,6.0,C,3.6382,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,808982,Jung Hoo Lee,San Francisco Giants,Kansas City Royals,hitter_rbis,0.42,0.0,1.819,0.847,xgboost,0.6272,6.0,RF,4.01,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,703607,Henry Bolte,Athletics,Arizona Diamondbacks,hitter_rbis,0.416,0.0,1.815,0.847,xgboost,0.6272,9.0,CF,3.4974,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824409,668952,Ryan Kreidler,Minnesota Twins,Cleveland Guardians,hitter_rbis,0.416,0.0,1.815,0.847,xgboost,0.6272,9.0,SS,3.0536,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,805300,Jakob Marsee,Miami Marlins,Houston Astros,hitter_rbis,0.414,0.0,1.812,0.847,xgboost,0.6272,7.0,CF,3.5747,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,686681,Michael Massey,Kansas City Royals,San Francisco Giants,hitter_rbis,0.413,0.0,1.812,0.847,xgboost,0.6272,7.0,2B,3.522,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,668804,Bryan Reynolds,Pittsburgh Pirates,New York Yankees,hitter_rbis,0.412,0.0,1.811,0.847,xgboost,0.6272,2.0,DH,4.2293,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,805779,Jacob Wilson,Athletics,Arizona Diamondbacks,hitter_rbis,0.412,0.0,1.811,0.847,xgboost,0.6272,1.0,SS,4.4133,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,676356,Jonny DeLuca,Tampa Bay Rays,Toronto Blue Jays,hitter_rbis,0.411,0.0,1.81,0.847,xgboost,0.6272,5.0,RF,3.58,3.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,664770,Nathan Lukes,Toronto Blue Jays,Tampa Bay Rays,hitter_rbis,0.411,0.0,1.81,0.847,xgboost,0.6272,1.0,RF,3.8808,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,683734,Andrew Vaughn,Milwaukee Brewers,New York Mets,hitter_rbis,0.41,0.0,1.809,0.847,xgboost,0.6272,4.0,1B,2.5407,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,683679,Jesus Rodriguez,San Francisco Giants,Kansas City Royals,hitter_rbis,0.409,0.0,1.808,0.847,xgboost,0.6272,7.0,C,2.7533,10.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,663586,Austin Riley,Atlanta Braves,San Diego Padres,hitter_rbis,0.406,0.0,1.805,0.847,xgboost,0.6272,4.0,3B,4.1101,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,683083,Nasim Nuñez,Washington Nationals,Colorado Rockies,hitter_rbis,0.406,0.0,1.805,0.847,xgboost,0.6272,8.0,2B,3.4125,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,672515,Gabriel Moreno,Arizona Diamondbacks,Athletics,hitter_rbis,0.405,0.0,1.804,0.847,xgboost,0.6272,3.0,C,4.19,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,665161,Jeremy Peña,Houston Astros,Miami Marlins,hitter_rbis,0.405,0.0,1.804,0.847,xgboost,0.6272,1.0,SS,4.2307,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,665862,Jazz Chisholm Jr.,New York Yankees,Pittsburgh Pirates,hitter_rbis,0.402,0.0,1.801,0.847,xgboost,0.6272,6.0,2B,3.8595,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,596146,Max Kepler,Arizona Diamondbacks,Athletics,hitter_rbis,0.402,0.0,1.8,0.847,xgboost,0.6272,4.0,LF,3.93,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,672640,Otto Lopez,Miami Marlins,Houston Astros,hitter_rbis,0.401,0.0,1.8,0.847,xgboost,0.6272,1.0,SS,4.4739,3.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,643217,Andrew Benintendi,Chicago White Sox,Texas Rangers,hitter_rbis,0.4,0.0,1.799,0.847,xgboost,0.6272,5.0,DH,3.412,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,686469,Vinnie Pasquantino,Kansas City Royals,San Francisco Giants,hitter_rbis,0.399,0.0,1.798,0.847,xgboost,0.6272,5.0,1B,4.1848,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,669364,Xavier Edwards,Miami Marlins,Houston Astros,hitter_rbis,0.398,0.0,1.796,0.847,xgboost,0.6272,4.0,2B,4.2336,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,699013,Esmerlyn Valdez,Pittsburgh Pirates,New York Yankees,hitter_rbis,0.397,0.0,1.796,0.847,xgboost,0.6272,4.0,RF,4.2825,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,691594,Javier Sanoja,Miami Marlins,Houston Astros,hitter_rbis,0.397,0.0,1.796,0.847,xgboost,0.6272,8.0,3B,3.5441,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,701807,Carson Benge,New York Mets,Milwaukee Brewers,hitter_rbis,0.395,0.0,1.794,0.847,xgboost,0.6272,5.0,RF,4.2127,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,663837,Matt Vierling,Detroit Tigers,Chicago Cubs,hitter_rbis,0.395,0.0,1.794,0.847,xgboost,0.6272,7.0,CF,3.0324,1.0,outputs/hitters/today_hitter_projections.csv
