date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,647304,Josh Naylor,5,1B,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,670042,Luke Raley,6,RF,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,702284,Cole Young,7,2B,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,645302,Victor Robles,8,CF,Pre-Game
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,away,806068,Colt Emerson,9,SS,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,650490,Yandy Díaz,1,DH,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,666018,Jonathan Aranda,2,1B,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,691406,Junior Caminero,3,3B,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,656775,Cedric Mullins,4,CF,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,676356,Jonny DeLuca,5,RF,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,802415,Chandler Simpson,6,LF,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,810938,Ben Williamson,7,SS,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,680700,Richie Palacios,8,2B,Pre-Game
2026-07-11,822953,Tampa Bay Rays,Seattle Mariners,home,663743,Nick Fortes,9,C,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,683953,Travis Bazzana,1,2B,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,677587,Brayan Rocchio,2,SS,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,800050,Chase DeLauter,3,DH,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,700932,Kyle Manzardo,4,1B,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,696135,Kahlil Watson,5,RF,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,672356,Gabriel Arias,6,3B,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,690984,Petey Halpin,7,CF,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,672275,Patrick Bailey,8,C,Pre-Game
2026-07-11,823844,Cleveland Guardians,Miami Marlins,away,680757,Steven Kwan,9,LF,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,689414,Liam Hicks,1,DH,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,672640,Otto Lopez,2,SS,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,669065,Kyle Stowers,3,1B,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,669364,Xavier Edwards,4,2B,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,681715,Heriberto Hernández,5,LF,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,665052,Griffin Conine,6,RF,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,805300,Jakob Marsee,7,CF,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,691788,Joe Mack,8,C,Pre-Game
2026-07-11,823844,Miami Marlins,Cleveland Guardians,home,691594,Javier Sanoja,9,3B,Pre-Game
