date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,668885,Austin Martin,1,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,663616,Trevor Larnach,2,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,605137,Josh Bell,3,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,665019,Kody Clemens,4,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,668904,Royce Lewis,5,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,686797,Brooks Lee,6,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,702176,Alan Roden,7,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,807712,Luke Keaschall,8,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Minnesota Twins,Cleveland Guardians,away,668952,Ryan Kreidler,9,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,800050,Chase DeLauter,1,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,680757,Steven Kwan,2,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,677587,Brayan Rocchio,3,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,683953,Travis Bazzana,4,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,700932,Kyle Manzardo,5,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,682177,Daniel Schneemann,6,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,672356,Gabriel Arias,7,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,672275,Patrick Bailey,8,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824406,Cleveland Guardians,Minnesota Twins,home,690984,Petey Halpin,9,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Cleveland Guardians,Minnesota Twins,Progressive Field,2026-07-23T17:10:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,665487,Fernando Tatis Jr.,1,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,592518,Manny Machado,2,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,701538,Jackson Merrill,3,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,664034,Ty France,4,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
