date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs
2026-07-07,824254,669372,J.T. Ginn,Athletics,Detroit Tigers,away,4,4.0,2,2,2
2026-07-07,824254,669373,Tarik Skubal,Detroit Tigers,Athletics,home,9,5.0,2,5,1
2026-07-07,823361,694462,Hurston Waldrep,Atlanta Braves,Pittsburgh Pirates,away,2,3.1,5,6,7
2026-07-07,823361,694973,Paul Skenes,Pittsburgh Pirates,Atlanta Braves,home,4,6.0,1,8,2
2026-07-07,823847,693433,Bryan Woo,Seattle Mariners,Miami Marlins,away,5,5.0,1,9,3
2026-07-07,823847,676974,Max Meyer,Miami Marlins,Seattle Mariners,home,4,5.0,2,4,2
2026-07-07,822956,701542,Will Warren,New York Yankees,Tampa Bay Rays,away,3,4.0,2,7,6
2026-07-07,822956,693855,Ian Seymour,Tampa Bay Rays,New York Yankees,home,12,5.1,0,5,3
2026-07-07,822713,837227,Tatsuya Imai,Houston Astros,Washington Nationals,away,3,3.2,3,4,2
2026-07-07,822713,674841,Andrew Alvarez,Washington Nationals,Houston Astros,home,3,5.2,5,4,5
2026-07-07,823607,607625,Seth Lugo,Kansas City Royals,New York Mets,away,4,4.1,2,9,6
2026-07-07,823607,672335,Cionel Pérez,New York Mets,Kansas City Royals,home,1,1.0,0,2,0
2026-07-07,824495,554430,Zack Wheeler,Philadelphia Phillies,Cincinnati Reds,away,14,7.0,0,4,1
2026-07-07,824495,671096,Andrew Abbott,Cincinnati Reds,Philadelphia Phillies,home,8,6.0,0,5,3
2026-07-07,823687,676282,Joey Cantillo,Cleveland Guardians,Minnesota Twins,away,7,5.0,3,6,0
2026-07-07,823687,671737,Taj Bradley,Minnesota Twins,Cleveland Guardians,home,10,7.0,0,3,1
2026-07-07,824579,801139,Payton Tolle,Boston Red Sox,Chicago White Sox,away,6,6.0,1,2,0
2026-07-07,824579,702273,Noah Schultz,Chicago White Sox,Boston Red Sox,home,3,5.0,3,7,4
2026-07-07,822881,667755,José Soriano,Los Angeles Angels,Texas Rangers,away,4,6.0,2,2,2
2026-07-07,822881,594798,Jacob deGrom,Texas Rangers,Los Angeles Angels,home,7,5.0,2,5,2
2026-07-07,823280,668678,Zac Gallen,Arizona Diamondbacks,San Diego Padres,away,5,6.0,3,6,4
2026-07-07,823280,608566,Germán Márquez,San Diego Padres,Arizona Diamondbacks,home,4,5.0,3,3,0
2026-07-07,823203,693686,Spencer Miles,Toronto Blue Jays,San Francisco Giants,away,1,4.0,0,7,2
2026-07-07,823203,686790,Trevor McDonald,San Francisco Giants,Toronto Blue Jays,home,0,2.1,1,11,8
