pitcher_id,pitcher_name,team,game_date,innings,strikeouts,walks,hits,earned_runs,home_runs,era
669373,Tarik Skubal,Detroit Tigers,2026-06-24,6.0,9,0,4,4,3,3.32
669373,Tarik Skubal,Detroit Tigers,2026-06-19,5.2,8,1,7,3,2,3.02
669373,Tarik Skubal,Detroit Tigers,2026-06-13,4.2,4,1,5,2,1,2.81
676282,Joey Cantillo,Cleveland Guardians,2026-07-07,5.0,7,3,6,0,0,3.66
676282,Joey Cantillo,Cleveland Guardians,2026-07-01,5.0,4,5,3,2,0,3.86
676282,Joey Cantillo,Cleveland Guardians,2026-06-26,6.0,9,2,2,1,1,3.87
676282,Joey Cantillo,Cleveland Guardians,2026-06-20,8.0,9,1,4,1,0,4.05
676282,Joey Cantillo,Cleveland Guardians,2026-06-13,5.0,4,0,6,1,0,4.38
663969,Tyler Phillips,Miami Marlins,2026-07-08,5.0,3,2,4,0,0,3.28
663969,Tyler Phillips,Miami Marlins,2026-07-03,3.1,2,2,7,5,1,3.52
663969,Tyler Phillips,Miami Marlins,2026-06-28,7.1,1,0,6,2,1,3.02
663969,Tyler Phillips,Miami Marlins,2026-06-22,6.0,4,3,5,2,1,3.09
663969,Tyler Phillips,Miami Marlins,2026-06-16,4.0,4,3,6,8,3,3.10
667755,José Soriano,Los Angeles Angels,2026-07-07,6.0,4,2,2,2,0,3.40
667755,José Soriano,Los Angeles Angels,2026-06-30,5.0,9,1,6,3,0,3.42
667755,José Soriano,Los Angeles Angels,2026-06-24,3.0,4,2,6,5,2,3.32
667755,José Soriano,Los Angeles Angels,2026-06-19,5.0,6,4,6,3,1,2.93
667755,José Soriano,Los Angeles Angels,2026-06-13,5.0,5,2,3,0,0,2.79
671737,Taj Bradley,Minnesota Twins,2026-07-07,7.0,10,0,3,1,1,3.67
671737,Taj Bradley,Minnesota Twins,2026-07-01,5.0,11,3,4,1,0,3.86
671737,Taj Bradley,Minnesota Twins,2026-06-26,7.0,7,3,3,2,0,3.98
671737,Taj Bradley,Minnesota Twins,2026-06-20,5.0,4,2,3,2,1,4.11
671737,Taj Bradley,Minnesota Twins,2026-06-14,6.2,7,1,5,4,2,4.14
669372,J.T. Ginn,Athletics,2026-07-07,4.0,4,2,2,2,1,3.10
669372,J.T. Ginn,Athletics,2026-07-01,6.0,4,5,3,1,1,3.04
669372,J.T. Ginn,Athletics,2026-06-26,6.0,5,1,8,3,1,3.15
669372,J.T. Ginn,Athletics,2026-06-20,5.1,5,3,6,3,0,3.05
669372,J.T. Ginn,Athletics,2026-06-15,6.0,3,2,6,0,0,2.91
702273,Noah Schultz,Chicago White Sox,2026-07-07,5.0,3,3,7,4,2,6.00
702273,Noah Schultz,Chicago White Sox,2026-07-01,4.1,7,4,2,3,1,5.86
702273,Noah Schultz,Chicago White Sox,2026-05-24,4.0,1,1,6,6,1,5.82
702273,Noah Schultz,Chicago White Sox,2026-05-18,5.1,6,0,5,3,1,4.93
702273,Noah Schultz,Chicago White Sox,2026-05-13,4.1,3,5,2,3,0,4.91
664849,Danny Young,Atlanta Braves,2026-07-10,1.0,1,0,1,1,1,2.70
664849,Danny Young,Atlanta Braves,2026-07-09,0.2,0,0,0,0,0,0.00
664849,Danny Young,Atlanta Braves,2026-07-05,1.0,2,0,1,0,0,0.00
664849,Danny Young,Atlanta Braves,2026-07-03,0.2,0,1,0,0,0,0.00
669160,Dustin May,St. Louis Cardinals,2026-07-06,4.2,7,0,4,0,0,4.55
669160,Dustin May,St. Louis Cardinals,2026-07-02,0.2,1,2,5,5,0,4.80
669160,Dustin May,St. Louis Cardinals,2026-06-21,2.0,2,1,6,6,2,4.30
669160,Dustin May,St. Louis Cardinals,2026-06-15,9.0,9,1,1,0,0,3.75
669160,Dustin May,St. Louis Cardinals,2026-06-09,6.0,6,1,4,0,0,4.21
664299,Cristian Javier,Houston Astros,2026-07-08,1.0,0,2,1,0,0,10.22
664299,Cristian Javier,Houston Astros,2026-07-04,2.0,4,1,2,1,1,11.12
664299,Cristian Javier,Houston Astros,2026-04-08,1.0,1,0,3,1,0,12.54
664299,Cristian Javier,Houston Astros,2026-04-03,3.2,2,5,6,6,0,12.96
664299,Cristian Javier,Houston Astros,2026-03-28,4.2,1,4,4,6,2,11.57
669022,MacKenzie Gore,Texas Rangers,2026-07-08,5.0,7,1,9,7,2,4.72
669022,MacKenzie Gore,Texas Rangers,2026-07-01,5.0,7,1,7,5,1,4.31
669022,MacKenzie Gore,Texas Rangers,2026-06-25,7.0,5,1,4,3,0,4.05
669022,MacKenzie Gore,Texas Rangers,2026-06-20,6.0,6,2,5,1,0,4.07
669022,MacKenzie Gore,Texas Rangers,2026-06-15,7.0,10,2,4,4,2,4.27
547179,Michael Lorenzen,Colorado Rockies,2026-07-07,6.0,5,3,6,2,1,6.46
547179,Michael Lorenzen,Colorado Rockies,2026-07-02,4.1,1,6,3,2,0,6.70
547179,Michael Lorenzen,Colorado Rockies,2026-06-27,5.2,1,0,7,2,0,6.83
547179,Michael Lorenzen,Colorado Rockies,2026-06-21,5.1,5,1,7,4,1,7.11
547179,Michael Lorenzen,Colorado Rockies,2026-06-15,5.0,5,1,5,1,1,7.13
686790,Trevor McDonald,San Francisco Giants,2026-07-07,2.1,0,1,11,8,1,5.46
686790,Trevor McDonald,San Francisco Giants,2026-07-01,6.0,5,0,1,0,0,4.42
686790,Trevor McDonald,San Francisco Giants,2026-06-26,5.1,3,1,7,3,0,4.94
686790,Trevor McDonald,San Francisco Giants,2026-06-20,3.0,1,3,3,3,0,4.93
686790,Trevor McDonald,San Francisco Giants,2026-06-13,3.2,4,3,6,4,1,4.64
683352,Mitch Bratt,Arizona Diamondbacks,2026-06-24,3.0,3,2,2,1,0,3.00
686218,Emmet Sheehan,Los Angeles Dodgers,2026-07-05,4.1,5,3,3,1,0,4.91
686218,Emmet Sheehan,Los Angeles Dodgers,2026-06-28,5.0,5,2,2,1,1,5.08
686218,Emmet Sheehan,Los Angeles Dodgers,2026-06-21,3.1,4,3,8,6,2,5.32
686218,Emmet Sheehan,Los Angeles Dodgers,2026-06-14,5.0,8,1,4,3,1,4.76
686218,Emmet Sheehan,Los Angeles Dodgers,2026-06-07,1.1,2,2,3,2,0,4.70
592332,Kevin Gausman,Toronto Blue Jays,2026-07-06,5.1,8,5,5,4,0,4.32
592332,Kevin Gausman,Toronto Blue Jays,2026-06-30,6.0,7,2,5,1,1,4.19
592332,Kevin Gausman,Toronto Blue Jays,2026-06-25,6.0,4,2,10,6,3,4.36
592332,Kevin Gausman,Toronto Blue Jays,2026-06-19,2.0,3,4,7,7,1,4.04
592332,Kevin Gausman,Toronto Blue Jays,2026-06-13,7.0,7,2,1,1,1,3.41
608566,Germán Márquez,San Diego Padres,2026-07-07,5.0,4,3,3,0,0,5.02
608566,Germán Márquez,San Diego Padres,2026-07-02,3.0,1,3,2,2,0,5.79
608566,Germán Márquez,San Diego Padres,2026-05-01,5.0,2,5,5,7,2,5.76
608566,Germán Márquez,San Diego Padres,2026-04-25,6.0,2,1,6,4,1,4.38
608566,Germán Márquez,San Diego Padres,2026-04-18,5.2,5,2,2,0,0,3.86
