date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs,status,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip
2026-07-04,824415,680732,Sean Burke,Chicago White Sox,Cleveland Guardians,away,11,6.0,0,7,1,Final,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,,,,,,,
2026-07-04,824415,800048,Parker Messick,Cleveland Guardians,Chicago White Sox,home,3,5.0,3,5,1,Final,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,,,,,,,
2026-07-04,824658,681517,Kyle Leahy,St. Louis Cardinals,Chicago Cubs,away,6,5.0,2,3,0,Final,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749,,,,,,,
2026-07-04,824658,684007,Shota Imanaga,Chicago Cubs,St. Louis Cardinals,home,8,4.2,3,4,2,Final,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,,,,,,,
2026-07-04,824903,640455,Sean Manaea,New York Mets,Atlanta Braves,away,4,5.0,1,5,3,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,2.4,3.06,3.2,1.4,1.6,2.6666666666666665,3.6666666666666665
2026-07-04,824903,519242,Chris Sale,Atlanta Braves,New York Mets,home,3,5.0,2,7,3,Final,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,,,,,,,
2026-07-04,824334,592662,Robbie Ray,San Francisco Giants,Colorado Rockies,away,4,6.0,3,5,3,Final,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,,,,,,,
2026-07-04,824334,807743,Sean Sullivan,Colorado Rockies,San Francisco Giants,home,4,5.2,2,12,6,Final,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,,,,,,,
2026-07-04,824092,666200,Jesús Luzardo,Philadelphia Phillies,Kansas City Royals,away,9,6.0,0,4,1,Final,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,6.6,5.14,6.6,1.8,4.2,5.0,4.5
2026-07-04,824092,608379,Michael Wacha,Kansas City Royals,Philadelphia Phillies,home,7,6.0,1,8,4,Final,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,5.6,6.42,4.0,2.0,1.8,6.0,6.366666666666667
2026-07-04,824012,543243,Sonny Gray,Boston Red Sox,Los Angeles Angels,away,7,6.0,2,4,1,Final,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708,,,,,,,
2026-07-04,824012,691951,Sam Aldegheri,Los Angeles Angels,Boston Red Sox,home,2,4.0,4,1,3,Final,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701,,,,,,,
2026-07-04,824983,645261,Sandy Alcantara,Miami Marlins,Athletics,away,8,8.0,1,6,1,Final,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732,,,,,,,
2026-07-04,824983,650644,Aaron Civale,Athletics,Miami Marlins,home,6,4.2,2,6,4,Final,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,,,,,,,
2026-07-04,825063,605540,Brandon Woodruff,Milwaukee Brewers,Arizona Diamondbacks,away,6,3.2,1,2,3,Final,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,,,,,,,
2026-07-04,825063,518876,Merrill Kelly,Arizona Diamondbacks,Milwaukee Brewers,home,6,5.0,2,8,2,Final,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,4.0,5.06,6.4,3.6,4.4,4.0,5.366666666666667
2026-07-04,823932,593974,Wandy Peralta,San Diego Padres,Los Angeles Dodgers,away,0,1.0,1,1,0,Final,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,,,,,,,
2026-07-04,823932,808967,Yoshinobu Yamamoto,Los Angeles Dodgers,San Diego Padres,home,10,7.0,2,3,0,Final,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,,,,,,,
2026-07-05,824902,690997,Nolan McLean,New York Mets,Atlanta Braves,away,5,6.0,1,5,2,Final,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,,,,,,,
2026-07-05,824902,527048,Martín Pérez,Atlanta Braves,New York Mets,home,1,4.1,2,6,4,Final,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,,,,,,,
2026-07-05,822715,696149,Bubba Chandler,Pittsburgh Pirates,Washington Nationals,away,0,4.0,4,6,4,Final,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76,,,,,,,
